xPair,darkrgb,darkcolorIndex,lightrgb,lightcolorIndex,diffLighting,lightL,lightA,lightB,darkL,darkA,darkB,lightAssoc,darkAssoc,diffRating
1717,#0e8a19,50,#fba714,70,25,75,21.041,76.206,50,-52.548,47.315,0.483815789,0.930592105,-0.446776316
1718,#67cf5c,51,#8cf47e,52,13,88,-52.548,47.315,75,-52.548,47.315,0.635,0.775460526,-0.140460526
1719,#608218,53,#67cf5c,51,25,75,-52.548,47.315,50,-27.583,48.623,0.775460526,0.874013158,-0.098552632
172,#b62ef2,3,#eddcad,44,38,88,-1.3084,24.966,50,78.822,-70.972,0.258815789,0.077039474,0.181776316
1720,#67cf5c,51,#c8e97d,55,13,88,-27.583,48.623,75,-52.548,47.315,0.476447368,0.775460526,-0.299013158
1721,#897618,56,#67cf5c,51,25,75,-52.548,47.315,50,-2.6168,49.931,0.775460526,0.592039474,0.183421053
1722,#67cf5c,51,#f7db7c,58,13,88,-2.6168,49.931,75,-52.548,47.315,0.380789474,0.775460526,-0.394671053
1723,#ac6619,59,#67cf5c,51,25,75,-52.548,47.315,50,22.349,51.24,0.775460526,0.549539474,0.225921053
1724,#cc4f1b,61,#67cf5c,51,25,75,-52.548,47.315,50,47.315,52.548,0.775460526,0.517828947,0.257631579
1725,#ea1d1d,62,#67cf5c,51,25,75,-52.548,47.315,50,72.28,53.857,0.775460526,0.271315789,0.504144737
1726,#67cf5c,51,#3efe44,63,13,88,-78.822,70.972,75,-52.548,47.315,0.682302632,0.775460526,-0.093157895
1727,#67cf5c,51,#9af443,65,13,88,-53.857,72.28,75,-52.548,47.315,0.616710526,0.775460526,-0.15875
1728,#67cf5c,51,#d0e942,67,13,88,-28.891,73.589,75,-52.548,47.315,0.516184211,0.775460526,-0.259276316
1729,#67cf5c,51,#fcdb42,69,13,88,-3.9252,74.897,75,-52.548,47.315,0.492105263,0.775460526,-0.283355263
173,#632b14,45,#b62ef2,3,25,50,78.822,-70.972,25,23.657,26.274,0.077039474,0.510394737,-0.433355263
1730,#608218,53,#8cf47e,52,38,88,-52.548,47.315,50,-27.583,48.623,0.635,0.874013158,-0.239013158
1731,#a3c55b,54,#8cf47e,52,13,88,-52.548,47.315,75,-27.583,48.623,0.635,0.671710526,-0.036710526
1732,#897618,56,#8cf47e,52,38,88,-52.548,47.315,50,-2.6168,49.931,0.635,0.592039474,0.042960526
1733,#d0b85a,57,#8cf47e,52,13,88,-52.548,47.315,75,-2.6168,49.931,0.635,0.500592105,0.134407895
1734,#ac6619,59,#8cf47e,52,38,88,-52.548,47.315,50,22.349,51.24,0.635,0.549539474,0.085460526
1735,#f7a75a,60,#8cf47e,52,13,88,-52.548,47.315,75,22.349,51.24,0.635,0.41,0.225
